player_name,team,opp_pitcher,hr_prob,hr_score,hr_rk,drought_games,wb_prob,wb_score,wb_rk,exp_tb,tb_score,tb_rk,prob_1h,hit_score,hit_rk,avg_combo,combo_score,combo_rk,consensus_score,best_prop_target,rank
Jonny DeLuca,Tampa Bay Rays,Framber Valdez,10.3,20.5,74,12,12.6,25.3,40,1.53,76.6,53,58.4,58.4,36,1.84,73.5,28,46.3,⚾ High-Floor Value,38
Bryce Eldridge,San Francisco Giants,Chase Burns,12.0,24.0,39,5,9.9,19.8,64,1.78,88.8,22,53.9,53.9,84,1.46,58.4,66,46.2,⚾ High-Floor Value,39
Ceddanne Rafaela,Boston Red Sox,Sandy Alcantara,8.2,16.5,99,10,12.7,25.4,39,1.61,80.3,44,61.2,61.2,19,1.65,65.9,39,45.6,⚾ High-Floor Value,40
Deyvison De Los Santos,Miami Marlins,Ranger Suarez,10.1,20.1,79,4,4.3,10.0,155,1.69,84.3,33,66.3,66.3,3,1.74,69.6,34,45.3,⚾ High-Floor Value,41
Kaelen Culpepper,Minnesota Twins,Jeffrey Springs,12.8,25.6,32,1,3.8,10.0,176,1.67,83.7,34,60.4,60.4,24,1.59,63.6,46,45.1,⚾ High-Floor Value,42
Chandler Simpson,Tampa Bay Rays,Framber Valdez,3.0,10.0,146,118,12.4,24.7,41,1.57,78.3,50,67.0,67.0,2,1.85,73.9,27,45.0,⚾ High-Floor Value,43
Chase Meidroth,Chicago White Sox,Kumar Rocker,10.9,21.7,57,11,8.6,17.2,77,1.54,77.0,51,56.8,56.8,47,1.88,75.3,23,44.9,⚾ High-Floor Value,44
Jose Siri,Los Angeles Angels,Parker Messick,12.0,23.9,40,11,14.9,29.8,26,1.51,75.7,56,53.9,53.9,85,1.32,52.6,85,44.8,⚾ High-Floor Value,45
Joc Pederson,Texas Rangers,TBD Pitcher,17.3,34.6,13,10,20.2,40.3,9,1.34,66.9,105,41.7,41.7,163,0.96,38.5,144,44.6,⚾ High-Floor Value,46
Esteury Ruiz,Miami Marlins,Ranger Suarez,11.7,23.4,45,10,14.5,29.0,28,1.45,72.5,75,51.4,51.4,106,1.52,60.7,56,44.4,⚾ High-Floor Value,47
Kody Clemens,Minnesota Twins,Jeffrey Springs,11.7,23.4,44,6,14.8,29.6,27,1.43,71.3,82,53.4,53.4,88,1.47,58.8,62,44.3,⚾ High-Floor Value,48
Andrew Benintendi,Chicago White Sox,Kumar Rocker,10.3,20.6,73,5,9.4,18.9,69,1.59,79.6,46,53.4,53.4,89,1.67,66.9,36,44.0,⚾ High-Floor Value,49
Cole Carrigg,Colorado Rockies,Cade Cavalli,6.6,13.1,123,21,18.7,37.5,12,1.48,74.2,64,53.3,53.3,90,1.49,59.7,60,43.9,⚾ High-Floor Value,50
Brady House,Washington Nationals,Ryan Feltner,10.9,21.8,54,6,8.5,17.1,79,1.48,73.9,65,53.1,53.1,91,1.92,76.9,18,43.8,⚾ High-Floor Value,51
Heriberto Hernández,Miami Marlins,Ranger Suarez,17.0,34.1,15,1,6.5,13.0,119,1.62,80.8,42,49.3,49.3,125,1.15,46.2,110,43.6,⚾ High-Floor Value,52
Kevin Alcántara,Chicago Cubs,Merrill Kelly,11.4,22.8,49,3,4.3,10.0,157,1.51,75.7,55,55.4,55.4,64,1.95,78.0,14,43.5,⚾ High-Floor Value,53
Dillon Dingler,Detroit Tigers,Drew Rasmussen,10.8,21.6,58,14,22.1,44.1,6,1.36,68.2,101,45.6,45.6,150,1.09,43.7,120,43.3,⚾ High-Floor Value,54
Alec Bohm,Philadelphia Phillies,Logan Gilbert,6.6,13.2,122,5,6.9,13.7,115,1.77,88.4,23,63.6,63.6,12,1.4,56.2,69,43.1,⚾ High-Floor Value,55
Bryan Reynolds,Pittsburgh Pirates,Robbie Ray,4.9,10.0,156,24,17.3,34.5,16,1.46,73.2,70,54.2,54.2,78,1.62,64.6,43,42.9,⚾ High-Floor Value,56
Nathaniel Lowe,Cleveland Guardians,George Klassen,12.4,24.9,35,7,11.7,23.4,50,1.4,69.9,91,56.0,56.0,55,1.33,53.1,83,42.8,⚾ High-Floor Value,57
Jordan Lawlar,Arizona Diamondbacks,Kevin Gausman,10.4,20.7,71,1,3.4,10.0,175,1.65,82.4,40,61.1,61.1,20,1.4,56.1,70,42.6,⚾ High-Floor Value,58
Colson Montgomery,Chicago White Sox,Kumar Rocker,13.2,26.4,30,2,8.4,16.8,83,1.44,72.1,76,46.8,46.8,146,1.66,66.5,37,42.4,⚾ High-Floor Value,59
Brandon Marsh,Philadelphia Phillies,Logan Gilbert,8.1,16.2,100,7,9.6,19.1,67,1.66,83.0,38,58.0,58.0,38,1.27,50.9,93,42.4,⚾ High-Floor Value,60
Gavin Sheets,San Diego Padres,Braxton Ashcraft,14.0,28.0,26,3,7.8,15.6,100,1.51,75.3,57,47.1,47.1,143,1.35,54.1,77,41.9,⚾ High-Floor Value,61
Andrew Knizner,San Francisco Giants,Chase Burns,12.6,25.2,34,1,5.5,10.9,132,1.69,84.4,32,46.1,46.1,148,1.32,53.0,84,41.8,⚾ High-Floor Value,62
Austin Hedges,Cleveland Guardians,George Klassen,7.3,14.6,115,13,7.4,14.7,107,1.47,73.7,67,55.0,55.0,67,1.98,79.1,11,41.8,⚾ High-Floor Value,63
Lawrence Butler,Athletics,Zebby Matthews,15.4,30.9,21,7,7.7,15.3,102,1.41,70.6,86,54.3,54.3,77,1.14,45.5,114,41.7,⚾ High-Floor Value,64
Mickey Moniak,Colorado Rockies,Cade Cavalli,15.8,31.5,19,1,8.6,17.1,80,1.47,73.4,69,50.5,50.5,114,0.99,39.7,139,41.6,⚾ High-Floor Value,65
Connor Wong,Boston Red Sox,Sandy Alcantara,13.6,27.3,27,2,4.2,10.0,160,1.58,79.2,47,54.1,54.1,79,1.19,47.5,106,41.6,⚾ High-Floor Value,66
Luis Campusano,San Diego Padres,Braxton Ashcraft,8.4,16.7,98,7,12.1,24.1,46,1.5,75.1,59,62.8,62.8,14,1.04,41.8,130,41.6,⚾ High-Floor Value,67
Donovan Walton,Athletics,Zebby Matthews,9.7,19.4,85,1,3.3,10.0,178,1.45,72.6,73,55.8,55.8,59,1.86,74.3,26,41.4,⚾ High-Floor Value,68
Colt Keith,Detroit Tigers,Drew Rasmussen,10.7,21.4,61,6,8.1,16.3,88,1.57,78.6,49,53.9,53.9,83,1.21,48.3,104,41.3,⚾ High-Floor Value,69
Brandon Nimmo,Texas Rangers,TBD Pitcher,8.6,17.3,95,13,12.2,24.4,43,1.46,72.8,72,50.7,50.7,111,1.43,57.2,67,41.2,⚾ High-Floor Value,70
Carlos Cortes,Athletics,Zebby Matthews,5.1,10.2,139,22,13.4,26.7,33,1.43,71.6,79,55.2,55.2,65,1.61,64.5,45,41.1,⚾ High-Floor Value,71
Carson Kelly,Chicago Cubs,Merrill Kelly,6.4,12.9,125,12,6.8,13.7,114,1.49,74.3,62,56.8,56.8,48,1.84,73.4,29,40.9,⚾ High-Floor Value,72
Javier Sanoja,Miami Marlins,Ranger Suarez,12.2,24.3,36,3,5.6,11.2,131,1.49,74.5,60,62.4,62.4,15,1.07,43.0,124,40.8,⚾ High-Floor Value,73
Daylen Lile,Washington Nationals,Ryan Feltner,8.6,17.2,97,14,12.8,25.7,37,1.38,68.9,96,53.5,53.5,87,1.37,55.0,74,40.8,⚾ High-Floor Value,74
Angel Genao,Cleveland Guardians,George Klassen,5.9,11.8,132,11,6.0,12.1,127,1.49,74.4,61,57.5,57.5,42,1.93,77.2,17,40.8,⚾ High-Floor Value,75
Elly De La Cruz,Cincinnati Reds,TBD Pitcher,8.0,15.9,104,1,5.9,11.9,129,1.61,80.7,43,51.4,51.4,105,1.55,62.1,51,40.5,⚾ High-Floor Value,76
Jonathan Aranda,Tampa Bay Rays,Framber Valdez,4.8,10.0,141,15,10.4,20.9,55,1.44,71.9,78,56.1,56.1,53,1.73,69.1,35,40.5,⚾ High-Floor Value,77
Ildemaro Vargas,Arizona Diamondbacks,Kevin Gausman,10.8,21.7,56,6,7.8,15.6,99,1.41,70.4,88,50.7,50.7,110,1.52,60.7,57,40.4,⚾ High-Floor Value,78
Caleb Durbin,Boston Red Sox,Sandy Alcantara,7.6,15.2,112,9,9.1,18.2,71,1.43,71.6,80,56.7,56.7,50,1.52,60.8,55,40.4,⚾ High-Floor Value,79
Michael Busch,Chicago Cubs,Merrill Kelly,10.7,21.4,60,1,3.6,10.0,174,1.46,72.9,71,54.3,54.3,76,1.5,59.9,59,40.1,⚾ High-Floor Value,80
Mike Trout,Los Angeles Angels,Parker Messick,10.6,21.2,62,12,16.0,32.0,21,1.26,63.1,118,52.3,52.3,101,1.02,40.7,137,40.1,⚾ High-Floor Value,81
Michael Conforto,Chicago Cubs,Merrill Kelly,15.7,31.5,20,0,8.0,16.0,93,1.28,64.1,114,43.0,43.0,158,1.34,53.6,81,39.8,⚾ High-Floor Value,82
Liam Hicks,Tampa Bay Rays,Framber Valdez,11.0,22.1,53,1,3.6,10.0,167,1.44,72.0,77,59.2,59.2,31,1.25,50.2,94,39.7,⚾ High-Floor Value,83
Dane Myers,Cincinnati Reds,TBD Pitcher,7.6,15.3,111,6,5.1,10.1,139,1.54,77.0,52,53.8,53.8,86,1.57,62.6,49,39.6,⚾ High-Floor Value,84
Alika Williams,Athletics,Zebby Matthews,4.3,10.0,165,30,12.9,25.8,35,1.39,69.4,94,55.1,55.1,66,1.46,58.5,65,39.6,⚾ High-Floor Value,85
Luke Keaschall,Minnesota Twins,Jeffrey Springs,9.9,19.8,82,1,3.0,10.0,177,1.39,69.5,93,62.3,62.3,16,1.35,53.9,78,39.5,⚾ High-Floor Value,86
Henry Bolte,Athletics,Zebby Matthews,7.9,15.7,106,8,5.0,10.0,144,1.51,75.3,58,61.0,61.0,21,1.38,55.2,73,39.5,⚾ High-Floor Value,87
Hao-Yu Lee,Detroit Tigers,Drew Rasmussen,10.4,20.9,68,1,3.9,10.0,168,1.52,75.9,54,64.0,64.0,9,0.91,36.5,154,39.4,⚾ High-Floor Value,88
Andruw Monasterio,Boston Red Sox,Sandy Alcantara,5.4,10.8,135,23,16.2,32.4,18,1.35,67.3,104,50.1,50.1,115,1.24,49.5,97,38.9,⚾ High-Floor Value,89
Geraldo Perdomo,Arizona Diamondbacks,Kevin Gausman,4.2,10.0,153,19,10.4,20.8,56,1.38,68.8,97,54.7,54.7,71,1.57,62.9,48,38.8,⚾ High-Floor Value,90
Adam Frazier,Los Angeles Angels,Parker Messick,3.9,10.0,163,34,12.0,23.9,47,1.43,71.5,81,57.6,57.6,41,1.21,48.6,101,38.8,⚾ High-Floor Value,91
Jacob Young,Washington Nationals,Ryan Feltner,8.1,16.2,101,9,9.5,19.0,68,1.31,65.5,110,58.2,58.2,37,1.27,51.0,92,38.6,⚾ High-Floor Value,92
Eli White,Boston Red Sox,Sandy Alcantara,6.1,12.2,129,18,16.2,32.5,17,1.24,62.1,121,56.7,56.7,49,1.11,44.5,117,38.6,⚾ High-Floor Value,93
Joe Mack,Miami Marlins,Ranger Suarez,11.5,22.9,48,4,9.3,18.6,70,1.37,68.3,99,52.8,52.8,97,0.95,37.9,146,38.5,⚾ High-Floor Value,94
Bryson Stott,Philadelphia Phillies,Logan Gilbert,7.5,15.0,113,7,8.4,16.8,82,1.41,70.5,87,55.4,55.4,63,1.28,51.3,89,38.4,⚾ High-Floor Value,95
Anthony Seigler,Boston Red Sox,Sandy Alcantara,5.1,10.2,138,15,12.3,24.6,42,1.38,69.2,95,52.6,52.6,99,1.36,54.4,76,38.4,⚾ High-Floor Value,96
Drew Gilbert,San Francisco Giants,Chase Burns,11.9,23.8,41,2,4.2,10.0,166,1.47,73.4,68,49.9,49.9,117,1.03,41.3,132,38.0,⚾ High-Floor Value,97
Derek Hill,Philadelphia Phillies,Logan Gilbert,10.2,20.3,76,7,9.7,19.3,66,1.42,71.2,83,49.4,49.4,123,0.91,36.3,155,37.9,⚾ High-Floor Value,98
Josh Naylor,Seattle Mariners,Zack Wheeler,7.8,15.7,107,12,6.2,12.4,123,1.48,74.2,63,59.7,59.7,27,1.02,40.7,136,37.9,⚾ High-Floor Value,99
Braden Montgomery,Chicago White Sox,Kumar Rocker,7.8,15.5,108,1,3.4,10.0,171,1.42,71.1,84,50.8,50.8,109,1.58,63.0,47,37.9,⚾ High-Floor Value,100
Brock Rodden,Seattle Mariners,Zack Wheeler,5.0,10.0,175,7,10.1,20.2,60,1.48,73.9,66,54.6,54.6,72,1.18,47.2,107,37.9,⚾ High-Floor Value,101
Jonah Cox,San Francisco Giants,Chase Burns,10.2,20.5,75,0,8.0,16.0,98,1.4,69.8,92,51.8,51.8,104,1.02,40.8,135,37.8,⚾ High-Floor Value,102
Jorge Mateo,Tampa Bay Rays,Framber Valdez,12.7,25.4,33,2,4.4,10.0,159,1.28,63.9,116,45.4,45.4,151,1.48,59.0,61,37.7,⚾ High-Floor Value,103
Jeff McNeil,Athletics,Zebby Matthews,8.9,17.8,89,5,3.8,10.0,153,1.31,65.5,109,60.3,60.3,25,1.34,53.5,82,37.7,⚾ High-Floor Value,104
JJ Bleday,Cincinnati Reds,TBD Pitcher,9.3,18.5,87,1,6.4,12.7,121,1.45,72.5,74,49.1,49.1,127,1.21,48.5,103,37.6,⚾ High-Floor Value,105
Ezequiel Duran,Texas Rangers,TBD Pitcher,8.6,17.2,96,0,8.0,16.0,91,1.31,65.4,111,55.6,55.6,61,1.24,49.8,95,37.6,⚾ High-Floor Value,106
Jose Trevino,Cincinnati Reds,TBD Pitcher,10.9,21.8,55,8,8.4,16.8,81,1.31,65.4,112,49.6,49.6,121,1.12,44.9,116,37.5,⚾ High-Floor Value,107
Jake Burger,Texas Rangers,TBD Pitcher,11.6,23.2,46,4,8.7,17.5,76,1.29,64.6,113,49.9,49.9,116,0.98,39.3,142,37.3,⚾ High-Floor Value,108
Jorge Barrosa,Arizona Diamondbacks,Kevin Gausman,11.3,22.6,50,17,12.1,24.3,45,1.14,57.0,139,45.6,45.6,149,1.14,45.7,113,37.0,⚾ High-Floor Value,109
Cody Freeman,Texas Rangers,TBD Pitcher,3.0,10.0,159,15,4.9,10.0,140,1.37,68.3,100,60.0,60.0,26,1.54,61.4,53,37.0,⚾ High-Floor Value,110
Agustín Ramírez,Miami Marlins,Ranger Suarez,4.0,10.0,145,23,9.0,18.1,72,1.33,66.7,107,54.9,54.9,68,1.34,53.7,79,36.7,⚾ High-Floor Value,111
Harry Ford,Washington Nationals,Ryan Feltner,10.5,21.0,67,6,12.2,24.4,44,1.17,58.3,136,45.0,45.0,153,1.1,44.0,119,36.6,⚾ High-Floor Value,112
Elias Díaz,Texas Rangers,TBD Pitcher,8.0,16.1,102,0,8.0,16.0,90,1.28,64.0,115,49.4,49.4,124,1.38,55.0,75,36.6,⚾ High-Floor Value,113
Royce Lewis,Minnesota Twins,Jeffrey Springs,6.9,13.9,117,15,15.0,29.9,25,1.14,57.2,138,52.2,52.2,102,1.08,43.3,123,36.6,⚾ High-Floor Value,114
Denzer Guzman,Los Angeles Angels,Parker Messick,8.8,17.6,91,3,4.8,10.0,156,1.41,70.6,85,51.1,51.1,107,1.15,46.0,111,36.4,⚾ High-Floor Value,115
Cedric Mullins,Tampa Bay Rays,Framber Valdez,5.2,10.4,136,18,12.8,25.7,36,1.24,61.9,123,47.1,47.1,144,1.39,55.7,71,36.4,⚾ High-Floor Value,116
Jhonny Pereda,Seattle Mariners,Zack Wheeler,4.9,10.0,174,12,4.5,10.0,141,1.4,70.2,89,60.5,60.5,23,1.31,52.3,86,36.4,⚾ High-Floor Value,117
Jahmai Jones,Boston Red Sox,Sandy Alcantara,8.7,17.4,92,6,3.5,10.0,147,1.33,66.4,108,60.7,60.7,22,1.03,41.0,134,36.3,⚾ High-Floor Value,118
Brayan Rocchio,Cleveland Guardians,George Klassen,6.8,13.6,120,5,5.3,10.6,134,1.23,61.3,126,50.5,50.5,113,1.79,71.4,32,36.3,⚾ High-Floor Value,119
Josh Lowe,Los Angeles Angels,Parker Messick,10.4,20.7,72,5,7.3,14.6,108,1.38,68.8,98,48.7,48.7,133,0.89,35.5,157,36.2,⚾ High-Floor Value,120
Alan Roden,Minnesota Twins,Jeffrey Springs,3.0,10.0,168,26,6.3,12.5,122,1.25,62.6,119,56.0,56.0,54,1.62,64.6,44,36.0,⚾ High-Floor Value,121
José Ramírez,Cleveland Guardians,George Klassen,4.7,10.0,158,30,15.0,30.1,23,1.1,54.8,145,53.1,53.1,95,1.2,48.1,105,35.7,⚾ High-Floor Value,122
Miguel Amaya,Chicago Cubs,Merrill Kelly,11.3,22.6,51,3,5.0,10.0,158,1.22,61.2,128,49.8,49.8,120,1.17,46.7,108,35.6,⚾ High-Floor Value,123
Freddy Fermin,San Diego Padres,Braxton Ashcraft,6.1,12.1,130,10,6.6,13.3,117,1.36,67.9,102,51.1,51.1,108,1.22,48.7,100,35.3,⚾ High-Floor Value,124
Julio Rodríguez,Seattle Mariners,Zack Wheeler,8.7,17.4,93,10,11.0,22.1,54,1.2,60.0,132,49.8,49.8,119,0.88,35.3,158,35.1,⚾ High-Floor Value,125
Connor Norby,Colorado Rockies,Cade Cavalli,7.4,14.7,114,1,3.0,10.0,170,1.25,62.5,120,50.5,50.5,112,1.42,57.0,68,35.0,⚾ High-Floor Value,126
Austin Hays,San Diego Padres,Braxton Ashcraft,5.6,11.1,134,6,4.0,10.0,149,1.4,70.0,90,54.4,54.4,75,1.16,46.4,109,35.0,⚾ High-Floor Value,127
Cole Young,Seattle Mariners,Zack Wheeler,7.0,13.9,116,7,7.6,15.1,104,1.34,66.9,106,48.5,48.5,136,1.08,43.4,121,34.9,⚾ High-Floor Value,128
Jakob Marsee,Miami Marlins,Ranger Suarez,8.7,17.3,94,1,3.0,10.0,169,1.23,61.4,125,54.0,54.0,80,1.14,45.7,112,34.7,⚾ High-Floor Value,129
Matt McLain,Cincinnati Reds,TBD Pitcher,10.8,21.6,59,1,4.0,10.0,180,1.27,63.5,117,46.9,46.9,145,0.98,39.1,143,34.4,⚾ High-Floor Value,130
Drew Romo,Chicago White Sox,Kumar Rocker,11.8,23.7,43,3,6.6,13.2,118,1.22,60.9,130,39.1,39.1,166,1.06,42.3,128,34.3,⚾ High-Floor Value,131
Jarren Duran,Boston Red Sox,Sandy Alcantara,11.5,23.0,47,3,6.2,12.4,124,1.2,60.0,131,49.0,49.0,128,0.85,34.0,159,34.3,⚾ High-Floor Value,132
Moisés Ballesteros,Los Angeles Angels,Parker Messick,5.2,10.4,137,47,21.1,42.3,8,1.01,50.6,157,47.5,47.5,140,0.67,26.9,172,34.2,⚾ High-Floor Value,133
Nick Gonzales,Pittsburgh Pirates,Robbie Ray,3.0,10.0,169,26,7.4,14.9,105,1.19,59.7,133,61.9,61.9,17,1.05,42.1,129,34.2,⚾ High-Floor Value,134
Jake Mangum,Pittsburgh Pirates,Robbie Ray,4.8,10.0,150,11,5.0,10.1,138,1.22,60.9,129,59.7,59.7,28,1.24,49.7,96,33.9,⚾ High-Floor Value,135
Brenton Doyle,Chicago White Sox,Kumar Rocker,8.0,16.0,103,7,5.7,11.3,130,1.23,61.7,124,44.1,44.1,155,1.28,51.2,90,33.7,⚾ High-Floor Value,136
Dylan Crews,Washington Nationals,Ryan Feltner,7.7,15.4,110,11,10.3,20.6,58,1.06,52.8,150,46.6,46.6,147,1.21,48.5,102,33.7,⚾ High-Floor Value,137
Gleyber Torres,Detroit Tigers,Drew Rasmussen,6.9,13.7,118,10,7.6,15.2,103,1.16,58.2,137,54.8,54.8,69,0.92,36.7,152,33.2,⚾ High-Floor Value,138
Jung Hoo Lee,San Francisco Giants,Chase Burns,6.4,12.7,127,10,8.8,17.6,75,1.18,58.8,135,54.0,54.0,81,0.81,32.4,164,32.9,⚾ High-Floor Value,139
Jose Fernandez,Arizona Diamondbacks,Kevin Gausman,3.4,10.0,154,35,9.9,19.8,62,1.1,55.0,142,57.0,57.0,45,0.95,37.9,147,32.9,⚾ High-Floor Value,140
David Fry,Cleveland Guardians,George Klassen,10.5,21.0,65,12,11.4,22.9,51,1.01,50.6,156,35.1,35.1,178,1.06,42.5,126,32.8,⚾ High-Floor Value,141
Edmundo Sosa,Philadelphia Phillies,Logan Gilbert,4.1,10.0,170,22,12.8,25.6,38,1.08,54.2,146,52.7,52.7,98,0.84,33.6,161,32.8,⚾ High-Floor Value,142
